Sismos reportados en el 2024    / Total de sismos = 158
Fecha;Hora Local;Magnitud;Profundidad en km;Localizacion;Origen;Reportado;Latitud;Longitud;
2024-04-25;16:05:00;3.4;10;8 km hacia el Norte de San Isidro de Pérez Zeledón;Fallamiento local;San Isidro de Pérez Zeledón;9.4483;-83.7174
2024-04-25;16:05:00;3.4;10;8 km hacia el Norte de San Isidro de Pérez Zeledón;Fallamiento local;San Isidro de Pérez Zeledón;9.4483;-83.7174
2024-04-25;16:05:00;3.4;10;8 km hacia el Norte de San Isidro de Pérez Zeledón;Fallamiento local;San Isidro de Pérez Zeledón;9.4483;-83.7174
2024-04-25;16:05:00;3.4;10;8 km al norte de San Isisidro de Pérez Zeledón.;Tectónico en falla local.;San Andrés, Boston, General Viejo, Sinaí, Morazán, Cajón y San Isidro de Pérez Zeledón;9.4483;-83.7174
2024-04-23;08:14:00;4.1;28;10 km Norte de Playa Bejuco. Guanacaste;Intraplaca Coco;Filadelfia, Nicoya, Santa Cruz, Santa Ana, Hojancha, Nandayure, Jicaral.;9.9012;-85.3223
2024-04-19;18:59:00;4.3;3;32 km al suroeste de Uvita, Parque Marino Ballena;Deformacion interna del Bloque de Panamá;Valle Central, Bahía Drake;8.9884;-84.0137
2024-04-18;04:59:00;3.7;29;12 km al sureste de San Marcos de Tarrazú;intra placa;Valle Central;9.5669;-83.9553
2024-04-17;15:21:00;5.6;158;15 km Nor Este de La Cruz. Guanacaste;Deformación Interna de la Placa de Coco;Todo el país;11.1107;-85.5108
2024-04-08;10:10:00;2.4;5;9 km al Suroeste de Ciudad Quesada;Tectónico en falla local;Alto Gloria y Ciudad Quesada de San Carlos;10.2819;-84.4959
2024-04-06;11:25:00;4.3;11;12 km Nor Este de Paracito.Moravia;Tectónico por Fallamiento Local;Valle Central, Sarapiquí;10.136;-83.9382
2024-03-31;21:50:38;4.4;25.7;58 km hacia el Noroeste de Playa Flamingo, Guanacaste;Deformación interna de la  placa del Coco;Guanacaste;10.6082;-86.3075
2024-03-30;12:34:54;4.7;56;11 km hacia el oeste de San Marcos de Tarrazú.;Subducción de la Placa del Coco por debajo de la microplaca de Panamá;Quepos, Heredia, San José, Pérez Zeledón, Moravia, Escazú, Guápiles, Atenas;9.6326;-84.1203
2024-03-26;01:58:00;1.8;4;2 km al sureste de Piedades de Santa Ana;Tectónico en falla local;Salitral y Ciudad Colón;9.9126;-84.2095
2024-03-25;10:06:00;4.4;19;60 km al suroeste de Puerto Jiménez;Tectónico por deformación interna de la placa del Coco;Catare y Pavones;8.1098;-83.6357
2024-03-21;18:00:00;3.7;10;7 km al sureste de Orosi;Fallamiento local;Orosi, Paraiso, Guarco, Tarrazú, Escazú;9.7345;-83.8284
2024-03-16;07:54:00;3.7;22;18 km al noroeste de San Isidro de Pérez Zeledón;Tectónico en falla local;Morazán, San Isidro y Peñas Brancas  de Pérez Zeledón, Santa María de Dota, Cartago y Turrialba;9.4961;-83.8206
2024-03-13;12:11:00;4.1;20;22 km Sur Oeste de Jacó;Tectónico por subducción;Cóbano, Jacó, Herradura;9.5067;-84.8108
2024-03-10;05:53:00;3.5;73;1 km Nor Oeste del Parque Eólico los Santos;Tectónico. Deformación interna de la placa de Coco;Desamparados, Tejar, Aserrí, El Guarco;9.7858;-83.9995
2024-03-10;21:59:00;3.8;34;50 km al oeste de Plaas del Coco;Tectónico por subducción de la placa del Coco bajo la placa del Caribe;Tamarindo y Manzanillo;10.6056;-86.2131
2024-03-10;21:47:00;4.7;30;85 km al oeste de Plaas del Coco;Tectónico por subducción de la placa del Coco bajo la placa del Caribe;Tamarindo y Manzanillo;10.5086;-86.504
2024-03-08;06:15:00;3.2;20;20 km Sur Oeste de Nicoya;Tectónico por Fallamiento Local;Marbella, Ostional, Santa Cruz, Nicoya;10.0707;-85.6301
2024-03-07;18:35:00;2.1;8;5 km Sur Este de Ciudad Colón;Tectónico por Fallamiento Local;Ciudad Colón, Brasil de Mora;9.9013;-84.1974
2024-03-07;02:20:00;5.8;20;90 km al suroeste de playa Garza, Guanacaste;Intra Placa Coco;Guanacaste, Alajuela, Heredia, San José, Cartago;9.6137;-86.4576
2024-03-04;18:51:00;2.8;22;8 km al noreste de Venado de San Carlos.;Tectónico en falla local;San Miguel de Monterrey y Delicias de San Carlos;10.6056;-84.6928
2024-03-04;23:37:00;3.3;8;9 km al norte de Buena Vista de Párez Zeledón;Tectónico en falla local;Rivas de PZ y Tayutic de Turrialba;9.5868;-83.6674
2024-03-03;21:51:00;4;22;2.5 km al noreste de Plaza Caisán, Panamá;Tectónico por falla local;Río Claro de Golfito, San Vito y Boquete en Chririquí, Panamá.;8.7497;-82.7989
2024-02-28;15:55:40;4.1;27;9 km hacia el Sureste de Parrita, Puntarenas.;Subduccion;Parrita, Quepos;9.4514;-84.2832
2024-02-24;04:11:00;3.6;4;4 km al suroeste de Orosi;Fallamiento local;Orosi, Paraiso, Guarco, Turrialba, Desamparados, Aserrí, Curridabat, Moravia, Guadalupe;9.7629;-83.8833
2024-02-23;09:16:00;3;7;3 km al noreste de División de Pérez Zeledón;Fallamiento local;San Isidro de El General;9.5128;-83.6793
2024-02-23;14:54:00;2.7;10;8 km al noroeste de San Isidro de El General;Fallamiento local;San Ramón Sur de Pérez Zeledón;9.4449;-83.7198
2024-02-21;22:02:00;2.5;10;8 km al noroeste de San Isidro de PZ;Tectónico por falla local;San Isidro i Miravalles de Pérez Zeñedón;9.4425;-83.7263
2024-02-20;20:33:00;2.2;5;5 km al suroeste de Orosi;Tectónico por falla local;Orosi;9.7589;-83.888
2024-02-20;09:29:00;3;12;8 km al noroeste de San Isidro de El General;Fallamiento local;Pérez Zeledón;9.4402;-83.7276
2024-02-17;02:24:00;3.6;7;13 km al noreste de Vara Blanca;Tectónico por falla local;Vara Blanca, Sarchí, Fraijanes, Cariblanco, Sarapiquí, Carrizal y San Pedro de Póas;10.2656;-84.0983
2024-02-17;02:58:00;3.3;11;8 km al norte de San Isidro de El General;Fallamiento local;Pérez Zeledón;9.4426;-83.7311
2024-02-17;06:59:00;3.9;12;8 km al noroeste de San Isidro de PZ;Tectónico por falla local;San Isidro, Los Santos, Dominical;9.4417;-83.726
2024-02-17;12:54:00;3.1;12;8 km al noroeste de San Isidro de PZ;Tectónico por falla local;San Isidro, Buenavista, Barú;9.4393;-83.7221
2024-02-16;19:31:00;3.4;12;6 km al este de Cariblanco;Fallamiento local;Sarapiquí;10.2621;-84.1243
2024-02-16;02:01:00;3.7;82;Santo Domingo de Heredia;Deformación interna de la Placa Coco;Valle Central;9.9877;-84.0797
2024-02-16;20:29:00;4.8;13;8 km al norte de San Isidro de Pérez Zeledón;Tectónico por falla local;San Isidro, Los Santos, Cartago, Dominical, Quepos, Jacó, Turrialba y Valle Central;9.4451;-83.715
2024-02-16;19:10:00;3.7;14;7 km al norte de San Isidro de El General;Fallamiento local;San Isidro de El General;9.4361;-83.707
2024-02-16;23:54:00;3.3;13;8 km al norte de San Isidro de El General;Fallamiento local;Pérez Zeledón;9.4401;-83.7185
2024-02-16;22:46:00;4.3;12;8 km al norte de San Isidro de PZ;Tectónico por falla local;San Isidro, Buenavista, Barú, Cartago, Turrialba y Valle de La Estrella;9.4452;-83.7302
2024-02-11;23:55:00;4.6;29;32 km al suroeste de playa Dominical;Intra placa Cocos;Pérez Zeledón, Ciudad Cortés, Río Claro, Dominical, Palmar Norte, Valle Central;9.0731;-84.1074
2024-02-11;23:43:00;4.3;9;32 km al suroeste de playa Dominical;Inter placa Panamá;Pérez Zeledón, Ciudad Cortés, Río Claro, Dominical, Palmar Norte, Valle Central;9.0211;-84.0729
2024-02-11;00:15:00;2.8;12;3 km Sur Este de Valencia de Pérez Zeledón;Tectónico por Fallamiento Local;Valencia, Pérez Zeledón, Barú;9.4364;-83.7093
2024-02-10;01:28:20;4.7;27;6.20 km hacia el Sureste de Puerto Armuelles, Panama.;Tectonico por Subduccion;Puerto Armuelles, Peninsula de Burica;8.2307;-82.827
2024-02-10;13:55:00;3.4;11;4 Km Oeste de Valencia de Pérez Zeledón;Tectónico por Fallamiento Local;Valencia, Barrio Unesco, Pérez Zeledón;9.4486;-83.6948
2024-02-10;16:35:00;3.3;12;500 metros sur de la Iglesia de Valencia de Pérez Zeledón;Tectónico por Fallamiento Local;Valencia, Pérez Zeledón, Barú;9.4472;-83.7277
2024-02-10;17:53:00;3.1;13;4 km Este de Valencia de Pérez Zeledón;Tectónico por Fallamiento Local;Valencia y Pérez Zeledón;9.4423;-83.7124
2024-02-05;08:30:00;3;4;2 km Oeste de Tierras Morenas de Coronado;Fallamiento Local;Coronado, Ipís, Rancho Redondo,  El Carmen, San Pedro;10.0561;-83.9314
2024-02-04;22:38:00;3.2;11;7 km Nor Oeste de Rivas de Pérez Zeledón;Fallamiento Local;Pérez Zeledón;9.4458;-83.7201
2024-02-04;18:49:00;4.3;13;8 km al norte de San Isidro de Pérez Zeledón;Tectónico por falla local;"San Isidro, Miravalles, Saavegre, Peñas Blancas y Palmares, todos de Peréz Zeledón; Valle del Guarco,";9.448;-83.7091
2024-02-03;03:40:00;4;12;8 km al noroeste de San Isidro de Pérez Zeledón;Tectónico por falla local;San Isidro, Miravalles, Palmares, , todos de Pérez Zeledón, Turrialba y Osa;9.4457;-83.725
2024-01-31;00:02:00;2.2;6;San Luis de Santo Domingo, Heredia;Fallamiento local;Valle Central;10.0012;-84.0325
2024-01-31;00:05:00;1.9;4;San Luis de Santo Domingo, Heredia;Fallamiento local;Valle Central;9.9992;-84.0456
2024-01-31;00:46:00;2.8;6;San Luis de Santo Domingo, Heredia;Fallamiento local;Valle Central;9.9973;-84.0503
2024-01-30;05:50:58;3.8;23.6;8.4 km hacia el Oeste de Herradura, Garabito de Puntarenas;Tectonico por Subduccion;Herradura, Esparza;9.6429;-84.7564
2024-01-28;12:06:00;3.8;22;8 km al noreste de Rincón de Osa;Tectónico por subducción;Rincón de Osa y Drake.;8.7593;-83.4387
2024-01-27;23:56:00;4.6;84;40 km al suroeste de Rivas;Deformación interna de la placa del Coco;Rivas, Peñas Blancas, La Cruz y Belén.;11.308;-86.157
2024-01-27;01:21:00;4;23;6 km al oeste de Parrita;Tectónico por subducción;San Ignacio de Acosta, Santa Bárbara y Escazú;9.5131;-84.383
2024-01-26;06:37:00;3.8;44;1 km al norte de Matapalo;Tectónico por deformación interna de la placa del Coco;Tibás, Pavas, Sabanilla, Cartago;9.3364;-83.9623
2024-01-25;17:50:00;5;47;2 km Nor Oeste de Playa Matapalo de Aguirre;Deformación Interna de la Placa de Coco;Fuerte en Matapalo, Aguirre, y Valle Central;9.323;-83.9773
2024-01-24;12:11:00;4.5;31;18 km Suroeste de Playa Hermosa de Osa. Puntarenas;Fallamiento Interno en la Placa de Coco;Zona Sur y leve en el Valle Central;9.0543;-83.8832
2024-01-22;19:29:00;3;15;7 km al norte de San Isidro de Pérez Zeledón;Tectónico por falla local;San Isidro, Miravalles, San Ramón y Rivas de Pérez Zeledón.;9.4311;-83.7131
2024-01-20;09:54:00;2.3;6;3 km al sureste de Ciudad Colón;Tectónico en falla local.;Ciudad Colón, Santa Ana, Escazú, Pavas y Alajuelita.;9.8976;-84.2215
2024-01-20;08:38:52;4.7;31;5 km hacia el Sureste de Manuel Antonio, Quepos;Deformación interna de la placa del Coco;Manuel Antonio, Quepos, Jaco, Pérez Zeledón, Heredia, San Ramón, Desamparados, Moravia, Alauela;9.3092;-84.1589
2024-01-16;17:06:00;4.3;29;7 km al sur de Quepos;Tectónico por subducción;Quepos, Los Santos, Jacó, Buenos Aires y Valle Central;9.3049;-84.1612
2024-01-15;12:13:00;3.6;20;10 km Sur Oeste  de la. Ciudad de Limón;Tectónico por cavalgamiento de la placa de Panamá sobre la placa del Caribe;Limón;9.9134;-83.1098
2024-01-13;22:36:00;3;7;2.5 km al Sur de Frailes de Desamparados;Tectónico por Fallamiento Local;Higuito del Guarco,  San Cristóbal Norte, Brasil de Mora, Aserrí, Desamparados,San Antonio de León Cortés entre otros;9.7274;-84.058
2024-01-13;11:50:00;3.9;19;30 km Este de Cabo Blanco;Tectónico por Subducción;Cóbano, Jacó, Punta Leona;9.567;-84.8348
2024-01-12;21:18:00;2.4;7;4 km Sur Oeste de San Cristóbal Sur. Desamparados;Tectónico por Fallamiento Local;Brasil de Mora y Frailes;9.7238;-84.0514
2024-01-11;19:44:00;4.1;20;10 km NorNoroeste de Playa Conchal. Guanacaste;Subducción;Conchal, Brasilito, Belén,  entre otros;10.4242;-85.8967
2024-01-10;00:19:00;3.2;13;5 km Norte de Florida de Dota.;Fallamiento Local;El Guarco, Tarrazú, Aserrí, Desamparados y Zona de los Santos;9.6869;-83.9335
2024-01-09;23:33:00;3.9;55;1.5 km al Nor Este de Coyolar de Acosta.;Intraplaca Coco;Acosta, Santa Ana, Atenas, Cartago, Desamparados, Alajuela, Aserrí, Curridabat entre otros.;9.7844;-84.2457
2024-01-09;08:57:00;3.1;6;3 km Nor Oeste de Abejonal. San Pablo, León Cortés;Tectónico por Fallamiento Local;Desamparados , Zona de Los Santos, Cartago;9.728;-84.0598
2024-01-05;21:19:48;4;74;2.5 km hacia el Sur de Grecia;Deformación interna de la placa del Coco;Puriscal, Grecia, Escazú, Atenas, heredia, Palmares, Cartago, San Ramón, Tibás, Curridabat, Belén;10.0476;-84.3087
2024-01-01;06:19:06;2.9;5.3;2.4 km hacia el Sur de Frailes de León Cortés;Fallamiento local;Escazú, Aserrí, Frailes;9.73;-84.0493
